,obs,wage,female,nonwhite,union,education,exper,age,wind,femalenonw,lnwage,education_exper,_Ifemale_1,_IfemXeduca_1,_IfemXexper_1,_Inonwhite_1,_InonXeduca_1
count,1289.0,1289.0,1289.0,1289.0,1289.0,1289.0,1289.0,1289.0,1289.0,1289.0,1289.0,1289.0,1289.0,1289.0,1289.0,1289.0,1289.0
mean,645.0,12.365849494934082,0.4972847168347556,0.15283165244375485,0.1590380139643134,13.145073700543056,18.78975950349108,37.934833204034135,0.4072924747866563,0.08378588052754073,2.3424155712127686,241.08688906128782,0.4972847168347556,6.492629945694337,9.211792086889062,0.15283165244375485,1.9208688906128781
std,372.2465580767672,7.896350383758545,0.5001866860403422,0.35996480641097095,0.3658534724522502,2.813823355743567,11.662836636292624,11.494277741512114,0.4915208451891323,0.2771739661898371,0.5863556265830994,153.0520916387243,0.5001866860403422,6.801088010355362,12.494569651517189,0.35996480641097095,4.642660057784202
min,1.0,0.8399999737739563,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,-0.17435342073440552,0.0,0.0,0.0,0.0,0.0,0.0
25%,323.0,6.920000076293945,0.0,0.0,0.0,12.0,9.0,29.0,0.0,0.0,1.9344158172607422,120.0,0.0,0.0,0.0,0.0,0.0
50%,645.0,10.079999923706055,0.0,0.0,0.0,12.0,18.0,37.0,0.0,0.0,2.3105533123016357,228.0,0.0,0.0,0.0,0.0,0.0
75%,967.0,15.630000114440918,1.0,0.0,0.0,16.0,27.0,47.0,1.0,0.0,2.749192237854004,352.0,1.0,12.0,17.0,0.0,0.0
max,1289.0,64.08000183105469,1.0,1.0,1.0,20.0,56.0,65.0,1.0,1.0,4.16013240814209,740.0,1.0,20.0,56.0,1.0,20.0
