,coef,std_err,t,p
Intercept,-7.183338234824379,1.0157878624053278,-7.071691344898179,2.5082759942575522e-12
female,-3.0748754460576326,0.36461620836452013,-8.433183647676922,8.939422730396321e-17
nonwhite,-1.5653133497129923,0.5091875448233627,-3.074139117554417,0.0021556641846176613
union,1.09597577132329,0.5060780921739823,2.165625796238794,0.0305235559402279
education,1.3703009745449164,0.06590421471282831,20.79231169836223,5.507613405899537e-83
exper,0.1666065290164185,0.01604755658708348,10.382049635551276,2.659960372288304e-24
