,dy/dx,Std. Err.,z,Pr(>|z|),Conf. Int. Low,Cont. Int. Hi.
age,-0.010004073835236008,0.0034661979894438067,-2.886180727616567,0.003899481650887843,-0.016797697057831015,-0.0032104506126409997
edu,-0.016219240067678296,0.01779405838143577,-0.911497519003284,0.3620332922428613,-0.05109495363409549,0.018656473498738897
income,2.0086041022761963e-05,6.466933016479189e-06,3.1059608892775366,0.0018966179938164004,7.411085220029781e-06,3.276099682549414e-05
pcigs79,-0.005118297261811253,0.0029358148072634663,-1.743399225710059,0.08126390346713468,-0.010872388549327048,0.0006357940257045412
ageedu,0.000503504582891517,0.0002929907443716999,1.718499961393834,0.08570546148827153,-7.074672388059642e-05,0.0010777558896636302
educincome,-1.5936244621729682e-06,5.11366529326763e-07,-3.1164035398856598,0.0018307156230267581,-2.5958844425526688e-06,-5.913644817932675e-07
