,coef,se,z,p
Intercept,1.5047787706215363,0.7483305609565568,2.010847677660052,0.04434154836321586
age,-0.02675871105598602,0.009012094568833205,-2.969199984710155,0.0029857621114104727
edu,-0.044183376100796534,0.04638706582533657,-0.9524934443399009,0.3408467890854059
income,5.218723849240037e-05,1.6645992659415527e-05,3.13512324318379,0.0017178192652538035
pcigs79,-0.013506824870068187,0.007731857702741506,-1.7469055160287075,0.08065372885554971
ageedu,0.001346128588207163,0.0007599215049770002,1.771404782455663,0.07649341388698239
educincome,-4.144612144080264e-06,1.3131059123570962e-06,-3.1563426111153983,0.001597610814098683
