,dy/dx,Std. Err.,z,Pr(>|z|),Conf. Int. Low,Cont. Int. Hi.
age,-0.010138255997763171,0.0034126542527450707,-2.970783222357835,0.0029704137061754795,-0.01682693542483096,-0.0034495765706953818
edu,-0.01674005809988819,0.01757638492554411,-0.9524175859143554,0.34088524419877075,-0.05118913953236737,0.017709023332590987
income,1.977253622363534e-05,6.2989964350688045e-06,3.13899784314124,0.0016952669563388481,7.426730072154288e-06,3.211834237511639e-05
pcigs79,-0.005117423180929806,0.0029292703037192276,-1.7469958898748028,0.08063805106366673,-0.010858687477202197,0.0006238411153425853
ageedu,0.0005100169512872993,0.0002878561006429476,1.7717774615446373,0.0764315053054184,-5.417063870301504e-05,0.0010742045412776137
educincome,-1.5702975692741367e-06,4.968253472145484e-07,-3.1606631547243134,0.0015741041982511932,-2.544057356421259e-06,-5.965377821270147e-07
